id,case_number,team_id,team_name,owner_id,first_name,last_name,owner_name,priority,status,country,subtype_name,time_created,time_first_touched (mins),time_last_closed,time_to_close (day),source,phase,result,investigation_id,total_assets,victim_count,bad_actor_count,disabled_count,monitoring_count,deleted_count
520,2612,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Closed,Russia,espionage,1/7/2020,102.00,1/30/2020,23.00,News,1,triage,C1476,5069,1269,3800,261,2017,1283
2,1545,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Low,Open,Russia,child safety,1/8/2020,526.00,1/24/2020,16.00,Leads,3,passed to another team,C1666,522,428,94,41,28,136
811,4942,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Low,Open,Iraq,hackers,1/8/2020,542.00,1/22/2020,14.00,Industry Partners,2,investigating,C2918,8763,3792,4971,1836,423,2009
412,3551,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Open,United States,dangerous actors,1/10/2020,394.00,1/27/2020,17.00,Industry Partners,4,enforced,C2131,938,887,51,28,0,463
2570,1525,678,NAVY,22587,Athena,Clarke,Athena Clarke,High,Open,Russia,hackers,1/12/2020,348.00,2/10/2020,29.00,Industry Partners,2,investigating,C1965,4593,3015,1578,413,346,511
2424,4070,678,NAVY,22587,Athena,Clarke,Athena Clarke,High,Closed,Russia,hackers,1/12/2020,329.00,2/3/2020,22.00,News,1,triage,C1838,5972,2282,3690,725,1002,938
2110,3975,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Urgent,Closed,China,child safety,1/12/2020,82.00,1/17/2020,5.00,Leads,2,investigating,C2506,8270,4670,3600,1250,842,1190
2401,2840,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Open,United States,child safety,1/13/2020,304.00,1/28/2020,15.00,Discovery,3,passed to another team,C2156,4190,180,4010,637,1453,1351
2935,1225,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Open,United States,espionage,1/13/2020,373.00,1/28/2020,15.00,News,3,passed to another team,C2082,4907,3770,1137,257,381,45
1994,2569,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Low,Closed,Russia,malware,1/14/2020,126.00,2/13/2020,30.00,Industry Partners,1,triage,C2850,7969,4491,3478,1311,1892,16
2032,1453,345,FBI,16484,Davon,Weber,Davon Weber,Urgent,Open,Russia,dangerous actors,1/14/2020,13.00,2/2/2020,19.00,Leads,4,enforced,C1874,60,24,36,11,9,6
614,4617,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Closed,Russia,human exploitation,1/15/2020,346.00,1/25/2020,10.00,News,1,triage,C2758,6,2,4,1,3,0
1912,2783,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Urgent,Closed,China,child safety,1/15/2020,24.00,2/11/2020,27.00,Industry Partners,3,passed to another team,C1016,3734,2366,1368,1083,10,195
877,3999,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Low,Closed,China,hackers,1/15/2020,552.00,2/9/2020,25.00,Leads,1,triage,C2167,5224,4146,1078,95,450,461
812,3943,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Mid,Open,United States,espionage,1/16/2020,162.00,2/9/2020,24.00,Discovery,2,investigating,C2380,2776,1786,990,390,490,105
1711,4107,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Low,Open,China,espionage,1/17/2020,474.00,2/16/2020,30.00,Discovery,1,triage,C2899,5535,1485,4050,3934,15,17
1308,1181,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,High,Closed,United States,malware,1/17/2020,489.00,2/3/2020,17.00,Government Partners,3,passed to another team,C1049,4513,2505,2008,1986,3,14
41,4036,123,CIA,18341,Josie,Mosley,Josie Mosley,Low,Closed,China,hackers,1/17/2020,339.00,1/26/2020,9.00,News,3,passed to another team,C2368,63,39,24,8,11,0
2947,3166,345,FBI,16484,Davon,Weber,Davon Weber,High,Open,Iraq,hackers,1/17/2020,450.00,1/26/2020,9.00,Leads,2,investigating,C1157,7933,4011,3922,622,115,2141
2242,2336,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Open,China,hackers,1/17/2020,74.00,1/26/2020,9.00,News,3,passed to another team,C2930,3436,153,3283,2743,120,5
1611,2025,345,FBI,16484,Davon,Weber,Davon Weber,Low,Open,Russia,espionage,1/18/2020,533.00,2/13/2020,26.00,Industry Partners,1,triage,C1425,8226,3709,4517,3918,510,6
1875,1424,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Low,Closed,China,malware,1/18/2020,244.00,2/11/2020,24.00,Government Partners,1,triage,C1946,1075,545,530,317,1,497
1366,2644,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Closed,Iraq,malware,1/19/2020,174.00,2/18/2020,30.00,Industry Partners,2,investigating,C2024,904,80,824,4,443,247
1767,2079,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Low,Open,Russia,dangerous actors,1/19/2020,504.00,2/3/2020,15.00,Leads,4,enforced,C1913,4069,2177,1892,1373,381,69
752,2481,345,FBI,10960,Juliana,Beard,Juliana Beard,High,Open,China,malware,1/19/2020,373.00,2/13/2020,25.00,Government Partners,4,enforced,C1762,5267,4417,850,449,26,249
339,2983,678,NAVY,24458,Lamont,Shields,Lamont Shields,Low,Open,United States,human exploitation,1/20/2020,476.00,1/29/2020,9.00,Leads,1,triage,C2242,2122,180,1942,590,114,1151
1658,4485,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Mid,Closed,China,child safety,1/20/2020,207.00,2/4/2020,15.00,Industry Partners,4,enforced,C1902,3551,712,2839,1169,902,504
2464,3966,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Urgent,Closed,United States,hackers,1/21/2020,63.00,2/18/2020,28.00,Industry Partners,3,passed to another team,C2163,390,43,347,219,50,50
918,3995,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Closed,Russia,human exploitation,1/22/2020,"1,131.00",1/30/2020,8.00,Government Partners,4,enforced,C1817,9814,7251,2563,1779,390,303
421,3194,345,FBI,10960,Juliana,Beard,Juliana Beard,High,Closed,United States,malware,1/22/2020,477.00,1/31/2020,9.00,Industry Partners,3,passed to another team,C1060,4309,454,3855,865,176,421
734,4349,678,NAVY,22587,Athena,Clarke,Athena Clarke,High,Open,Iraq,dangerous actors,1/23/2020,496.00,2/13/2020,21.00,News,2,investigating,C2007,2296,62,2234,513,202,300
2181,3476,345,FBI,16484,Davon,Weber,Davon Weber,Mid,Closed,Iraq,espionage,1/23/2020,128.00,2/20/2020,28.00,Leads,1,triage,C2433,1576,1425,151,121,23,4
1863,3408,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Closed,Russia,hackers,1/23/2020,82.00,2/12/2020,20.00,News,4,enforced,C1483,3403,1402,2001,1019,234,38
604,4314,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Urgent,Closed,Iraq,child safety,1/25/2020,34.00,2/2/2020,8.00,News,3,passed to another team,C1228,1089,1045,44,5,3,1075
183,2739,123,CIA,18341,Josie,Mosley,Josie Mosley,Urgent,Open,Russia,espionage,1/25/2020,86.00,1/26/2020,1.00,News,4,enforced,C2246,63,27,36,26,5,0
859,2528,123,CIA,18341,Josie,Mosley,Josie Mosley,Low,Open,China,malware,1/26/2020,187.00,1/27/2020,1.00,News,2,investigating,C1800,299,226,73,30,38,0
1991,2955,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,Urgent,Closed,Iraq,espionage,1/26/2020,19.00,2/8/2020,13.00,News,3,passed to another team,C1528,3810,698,3112,449,2473,21
763,2081,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Urgent,Closed,China,malware,1/27/2020,47.00,2/20/2020,24.00,Government Partners,4,enforced,C2677,348,230,118,72,0,211
835,2052,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Urgent,Closed,Russia,dangerous actors,1/27/2020,43.00,2/16/2020,20.00,Leads,2,investigating,C1134,6866,3276,3590,3583,6,1
2753,2771,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Urgent,Closed,China,dangerous actors,1/27/2020,53.00,2/9/2020,13.00,Government Partners,2,investigating,C2436,2267,2061,206,206,0,0
2289,3530,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Urgent,Closed,China,malware,1/28/2020,79.00,2/20/2020,23.00,Government Partners,2,investigating,C1881,6326,4019,2307,1286,422,449
1191,2802,345,FBI,16484,Davon,Weber,Davon Weber,High,Closed,Russia,espionage,1/28/2020,405.00,2/20/2020,23.00,Industry Partners,3,passed to another team,C2916,6546,2179,4367,2943,1288,16
2319,4118,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Mid,Closed,Russia,espionage,1/29/2020,"1,352.00",2/10/2020,12.00,News,2,investigating,C1322,3142,1862,1280,171,113,958
2376,4763,678,NAVY,24458,Lamont,Shields,Lamont Shields,Low,Open,Russia,malware,1/31/2020,598.00,2/29/2020,29.00,Leads,1,triage,C1836,8698,2372,6326,4763,865,14
2041,3300,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,High,Open,Russia,malware,1/31/2020,448.00,2/28/2020,28.00,News,3,passed to another team,C1975,6103,1326,4777,4268,238,100
1518,4879,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Urgent,Closed,Iraq,child safety,1/31/2020,37.00,2/11/2020,11.00,Government Partners,4,enforced,C2261,363,248,115,108,69,141
1275,2033,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Open,China,child safety,2/1/2020,301.00,2/25/2020,24.00,Industry Partners,2,investigating,C1091,2917,2007,910,882,24,3
345,2179,345,FBI,10960,Juliana,Beard,Juliana Beard,Mid,Open,United States,human exploitation,2/1/2020,"1,140.00",2/20/2020,19.00,Government Partners,4,enforced,C1507,5326,1462,3864,163,562,978
454,3896,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Low,Closed,United States,dangerous actors,2/2/2020,507.00,2/28/2020,26.00,Industry Partners,3,passed to another team,C2550,1380,686,694,553,499,230
1804,4132,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Closed,United States,dangerous actors,2/2/2020,420.00,2/23/2020,21.00,Government Partners,2,investigating,C2068,8408,1730,6678,2496,3189,337
136,4569,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Closed,Iraq,human exploitation,2/2/2020,466.00,2/23/2020,21.00,Industry Partners,3,passed to another team,C2773,2144,618,1526,1248,276,2
2074,3245,345,FBI,10960,Juliana,Beard,Juliana Beard,High,Open,Russia,dangerous actors,2/3/2020,401.00,2/10/2020,7.00,News,1,triage,C2617,4649,2032,2617,2192,140,250
2653,2413,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Mid,Open,Iraq,malware,2/3/2020,"1,298.00",2/18/2020,15.00,News,4,enforced,C1342,202,55,147,47,89,35
1010,4371,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,High,Closed,Russia,child safety,2/3/2020,331.00,2/9/2020,6.00,News,3,passed to another team,C1139,1457,105,1352,1072,155,111
1529,1591,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Low,Open,Russia,dangerous actors,2/3/2020,41.00,3/3/2020,29.00,Government Partners,1,triage,C1989,4452,3469,983,635,96,112
2918,4462,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,High,Open,United States,human exploitation,2/6/2020,329.00,3/2/2020,25.00,Government Partners,3,passed to another team,C1727,9113,8135,978,945,10,23
1248,3378,678,NAVY,24458,Lamont,Shields,Lamont Shields,Mid,Open,China,malware,2/7/2020,779.00,2/11/2020,4.00,Leads,3,passed to another team,C1852,2818,2086,732,291,277,142
123,2999,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Open,Iraq,dangerous actors,2/8/2020,181.00,3/8/2020,29.00,Leads,1,triage,C2203,5271,4217,1054,351,69,324
2075,1073,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Mid,Closed,Iraq,malware,2/8/2020,"1,132.00",2/24/2020,16.00,Government Partners,4,enforced,C2139,9521,5313,4208,1223,2898,7
2857,4381,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,High,Open,United States,hackers,2/10/2020,488.00,2/19/2020,9.00,News,1,triage,C1616,6936,2626,4310,1510,2001,133
2669,3030,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Open,Russia,dangerous actors,2/10/2020,391.00,2/13/2020,3.00,News,4,enforced,C2793,254,135,119,64,50,0
2637,4768,345,FBI,10960,Juliana,Beard,Juliana Beard,Low,Open,Iraq,hackers,2/10/2020,515.00,2/24/2020,14.00,Government Partners,1,triage,C2097,1562,740,822,481,130,121
2002,3575,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Mid,Closed,Russia,hackers,2/11/2020,640.00,2/26/2020,15.00,Industry Partners,3,passed to another team,C2562,6326,5555,771,195,289,222
2989,1902,678,NAVY,24458,Lamont,Shields,Lamont Shields,High,Open,China,espionage,2/11/2020,312.00,3/10/2020,28.00,News,2,investigating,C1859,3034,1880,1154,751,92,300
920,1108,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Open,Iraq,child safety,2/11/2020,433.00,3/5/2020,23.00,News,4,enforced,C2770,1456,746,710,191,42,1082
244,4832,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Low,Open,United States,human exploitation,2/11/2020,331.00,3/3/2020,21.00,Industry Partners,1,triage,C1884,7500,2249,5251,1880,1384,785
2288,1266,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Open,United States,malware,2/11/2020,451.00,2/27/2020,16.00,Discovery,2,investigating,C1723,3723,1147,2576,1790,486,216
1120,2318,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Low,Closed,Iraq,dangerous actors,2/12/2020,367.00,2/17/2020,5.00,Leads,3,passed to another team,C2613,9037,5793,3244,2625,65,478
221,3172,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Open,United States,espionage,2/12/2020,46.00,2/25/2020,13.00,Leads,1,triage,C2001,5820,3979,1841,1147,504,46
2387,2904,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,Low,Open,United States,human exploitation,2/12/2020,318.00,2/24/2020,12.00,Government Partners,4,enforced,C1910,4903,4704,199,104,59,12
800,1221,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Open,Russia,espionage,2/12/2020,426.00,2/15/2020,3.00,News,1,triage,C2816,783,707,76,76,1,520
2951,4324,345,FBI,10960,Juliana,Beard,Juliana Beard,High,Closed,Iraq,human exploitation,2/13/2020,471.00,2/28/2020,15.00,Discovery,2,investigating,C1397,5520,35,5485,2014,2897,20
2482,3025,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Closed,Russia,dangerous actors,2/14/2020,491.00,2/15/2020,1.00,Leads,2,investigating,C1193,7110,5749,1361,8,1213,18
1349,4833,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Open,United States,dangerous actors,2/14/2020,467.00,2/26/2020,12.00,Government Partners,4,enforced,C1794,5908,1766,4142,2021,826,738
2088,2177,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Closed,Iraq,dangerous actors,2/15/2020,366.00,2/19/2020,4.00,Industry Partners,4,enforced,C2935,8802,7053,1749,1217,432,89
792,1276,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Urgent,Closed,China,espionage,2/15/2020,90.00,2/19/2020,4.00,Government Partners,3,passed to another team,C1181,3651,1297,2354,1748,51,224
680,1014,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Low,Closed,United States,hackers,2/17/2020,445.00,2/20/2020,3.00,Government Partners,3,passed to another team,C2967,9473,1427,8046,6938,666,157
90,4621,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Low,Open,United States,dangerous actors,2/20/2020,496.00,2/22/2020,2.00,Industry Partners,2,investigating,C2321,6952,1670,5282,3816,626,513
1865,1612,345,FBI,28860,Konnor,Mitchell,Konnor Mitchell,Urgent,Closed,Iraq,human exploitation,2/20/2020,92.00,3/13/2020,22.00,Industry Partners,2,investigating,C1040,9602,2555,7047,6305,728,12
391,2506,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Urgent,Open,United States,human exploitation,2/20/2020,29.00,3/13/2020,22.00,Discovery,1,triage,C2748,2692,996,1696,1115,391,139
2492,2790,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Mid,Closed,Iraq,hackers,2/21/2020,625.00,3/16/2020,24.00,Government Partners,4,enforced,C2668,3592,6,3586,2552,578,221
1026,3706,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Mid,Open,United States,espionage,2/21/2020,"1,145.00",3/18/2020,26.00,Government Partners,2,investigating,C2080,792,678,114,51,20,356
925,3935,123,CIA,18341,Josie,Mosley,Josie Mosley,Urgent,Open,Iraq,human exploitation,2/21/2020,32.00,3/21/2020,29.00,Discovery,3,passed to another team,C1363,198,104,94,24,65,0
1311,3199,678,NAVY,24458,Lamont,Shields,Lamont Shields,Mid,Open,United States,dangerous actors,2/22/2020,80.00,3/5/2020,12.00,News,3,passed to another team,C2779,1498,893,605,104,326,112
1932,4410,678,NAVY,22587,Athena,Clarke,Athena Clarke,Mid,Closed,United States,human exploitation,2/22/2020,426.00,3/5/2020,12.00,Government Partners,1,triage,C1780,4804,1722,3082,107,754,1092
2058,4375,123,CIA,35382,Cherish,Alvarez,Cherish Alvarez,Mid,Open,United States,child safety,2/22/2020,"1,107.00",3/16/2020,23.00,Discovery,3,passed to another team,C1629,563,246,317,63,147,66
1296,1123,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Open,Russia,human exploitation,2/22/2020,157.00,2/28/2020,6.00,Government Partners,2,investigating,C2327,6748,4274,2474,1654,532,198
1144,1211,678,NAVY,24458,Lamont,Shields,Lamont Shields,High,Closed,China,malware,2/23/2020,333.00,3/4/2020,10.00,Government Partners,4,enforced,C1657,387,343,44,39,1,1
941,2621,345,FBI,16484,Davon,Weber,Davon Weber,Urgent,Closed,United States,espionage,2/23/2020,30.00,3/3/2020,9.00,Leads,3,passed to another team,C1166,8411,1216,7195,6780,364,16
1334,1623,345,FBI,10960,Juliana,Beard,Juliana Beard,Urgent,Open,Iraq,espionage,2/23/2020,41.00,3/17/2020,23.00,Government Partners,2,investigating,C1824,6590,2726,3864,2808,113,151
1673,3046,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Low,Closed,United States,dangerous actors,2/24/2020,502.00,3/15/2020,20.00,News,2,investigating,C1888,255,107,148,40,49,19
793,1959,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Closed,United States,espionage,2/24/2020,369.00,2/25/2020,1.00,Industry Partners,3,passed to another team,C1760,5084,1484,3600,2006,1056,125
1997,2097,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Urgent,Open,United States,child safety,2/24/2020,47.00,3/8/2020,13.00,Industry Partners,4,enforced,C2815,9079,2801,6278,6262,4,10
1413,3734,345,FBI,16484,Davon,Weber,Davon Weber,Urgent,Closed,United States,malware,2/24/2020,51.00,3/17/2020,22.00,Leads,1,triage,C1122,3651,3527,124,94,27,2
2211,1494,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Urgent,Open,United States,child safety,2/24/2020,15.00,3/12/2020,17.00,News,3,passed to another team,C1385,9343,8503,840,702,11,50
621,2916,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Open,United States,child safety,2/24/2020,353.00,3/14/2020,19.00,Discovery,4,enforced,C1239,117,11,106,20,45,48
2576,2210,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Urgent,Closed,United States,hackers,2/25/2020,63.00,2/27/2020,2.00,Government Partners,3,passed to another team,C1312,3550,1719,1831,503,338,525
2487,1166,678,NAVY,24458,Lamont,Shields,Lamont Shields,Urgent,Open,United States,espionage,2/25/2020,117.00,3/17/2020,21.00,Government Partners,4,enforced,C1433,3898,3678,220,28,108,35
812,1268,678,NAVY,22587,Athena,Clarke,Athena Clarke,Mid,Closed,Iraq,dangerous actors,2/25/2020,270.00,3/12/2020,16.00,Government Partners,1,triage,C1119,9611,2539,7072,5586,301,778
2849,2373,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Closed,United States,child safety,2/25/2020,771.00,3/15/2020,19.00,Discovery,3,passed to another team,C1926,241,69,172,156,11,0
1587,3715,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,Low,Closed,United States,child safety,2/26/2020,403.00,3/5/2020,8.00,Discovery,1,triage,C1469,5898,3019,2879,312,33,699
1737,2007,123,CIA,22116,Dominique,Skinner,Dominique Skinner,High,Closed,United States,dangerous actors,2/27/2020,493.00,3/2/2020,4.00,Government Partners,1,triage,C2742,5612,829,4783,1711,2277,381
2820,2010,345,FBI,34617,Jennifer,Rowland,Jennifer Rowland,High,Open,Russia,espionage,2/27/2020,352.00,3/19/2020,21.00,Leads,2,investigating,C2770,4201,1209,2992,913,240,1374
721,4099,345,FBI,16484,Davon,Weber,Davon Weber,High,Open,China,hackers,2/27/2020,500.00,3/3/2020,5.00,Discovery,3,passed to another team,C2658,8584,1967,6617,337,641,1453
2043,3305,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Low,Closed,Russia,child safety,2/28/2020,281.00,2/29/2020,1.00,Discovery,4,enforced,C2604,6316,2664,3652,466,726,1445
959,3833,678,NAVY,22587,Athena,Clarke,Athena Clarke,Urgent,Closed,Russia,hackers,2/28/2020,33.00,3/25/2020,26.00,Leads,2,investigating,C1795,2151,440,1711,1261,202,25
1482,1791,123,CIA,30491,Tyree,Clarke,Tyree Clarke,Low,Open,Iraq,dangerous actors,2/28/2020,318.00,3/22/2020,23.00,Discovery,2,investigating,C2022,703,373,330,249,224,42
1409,2446,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Urgent,Closed,Russia,hackers,2/28/2020,65.00,3/29/2020,30.00,Government Partners,4,enforced,C1054,807,128,679,624,0,48
2945,1438,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Open,Russia,malware,2/28/2020,283.00,2/29/2020,1.00,Industry Partners,1,triage,C1996,8827,3600,5227,765,2068,1962
987,1821,123,CIA,30491,Tyree,Clarke,Tyree Clarke,High,Closed,United States,hackers,2/29/2020,362.00,3/10/2020,10.00,Government Partners,4,enforced,C2716,206,201,5,2,0,19
2128,3873,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Closed,United States,espionage,2/29/2020,592.00,3/5/2020,5.00,Leads,4,enforced,C2345,6374,5257,1117,367,350,275
1152,1190,901,ARMY,24691,Jaeden,Mcintyre,Jaeden Mcintyre,High,Open,Russia,hackers,2/29/2020,370.00,3/16/2020,16.00,News,4,enforced,C1634,3596,618,2978,638,548,1115
2862,4721,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Open,Russia,dangerous actors,2/29/2020,545.00,3/23/2020,23.00,Industry Partners,2,investigating,C1245,9,3,6,6,3,0
2971,4418,123,CIA,22116,Dominique,Skinner,Dominique Skinner,Low,Open,United States,dangerous actors,3/1/2020,58.00,3/4/2020,3.00,Discovery,2,investigating,C2671,5472,3021,2451,963,395,832
2132,2099,901,ARMY,21357,Aisha,Parrish,Aisha Parrish,Mid,Closed,Iraq,dangerous actors,3/1/2020,"1,395.00",3/22/2020,21.00,Leads,1,triage,C1218,4265,1632,2633,2161,168,228
199,1118,123,CIA,18341,Josie,Mosley,Josie Mosley,Low,Closed,Russia,hackers,3/2/2020,304.00,3/9/2020,7.00,News,3,passed to another team,C1967,89,8,81,26,50,0
312,4021,678,NAVY,22587,Athena,Clarke,Athena Clarke,Urgent,Open,Iraq,hackers,3/3/2020,59.00,3/22/2020,19.00,News,3,passed to another team,C2071,87,42,45,11,1,33
160,4652,678,NAVY,22587,Athena,Clarke,Athena Clarke,Urgent,Closed,Iraq,hackers,3/3/2020,51.00,3/8/2020,5.00,Government Partners,1,triage,C1565,3517,1114,2403,1952,325,27
295,2917,123,CIA,18341,Josie,Mosley,Josie Mosley,Mid,Open,United States,child safety,3/3/2020,719.00,3/26/2020,23.00,News,2,investigating,C1064,155,30,125,16,104,0
1209,4952,123,CIA,18341,Josie,Mosley,Josie Mosley,High,Closed,United States,dangerous actors,3/4/2020,376.00,3/31/2020,27.00,Discovery,4,enforced,C2882,225,180,45,33,7,0
1932,3481,345,FBI,10960,Juliana,Beard,Juliana Beard,Mid,Closed,Russia,hackers,3/4/2020,569.00,3/13/2020,9.00,Industry Partners,4,enforced,C2670,5594,2919,2675,517,1959,148
2426,2812,678,NAVY,24458,Lamont,Shields,Lamont Shields,Low,Open,China,hackers,3/4/2020,555.00,3/22/2020,18.00,News,1,triage,C2044,3222,2457,765,320,185,213
2254,3891,678,NAVY,22587,Athena,Clarke,Athena Clarke,Mid,Open,Russia,hackers,3/5/2020,373.00,4/3/2020,29.00,News,2,investigating,C1758,2517,750,1767,759,76,335
